Time (s),Heart Rate (BPM),Classification
0.97,68.18181818181819,Average
2.08,54.05405405405405,Lower
3.42,44.776119402985074,Lower
4.08,90.9090909090909,Average
5.08,60.0,Average
6.15,56.074766355140184,Lower
6.97,73.17073170731707,Average
8.12,52.173913043478265,Lower
9.18,56.60377358490566,Lower
9.93,80.0,Average
11.02,55.04587155963302,Lower
12.1,55.55555555555555,Lower
12.75,92.3076923076923,Average
13.67,65.21739130434783,Average
14.36,86.95652173913044,Average
15.03,89.55223880597015,Average
